item,n_sample_age,n_known_age,prop_known_age
tesařka,31,31,1
testosteron,37,37,1
teta,35,35,1
tetování,39,39,1
thriller,37,37,1
tichá,32,32,1
tichý,35,35,1
tiskárna,90,90,1
tkanička,39,39,1
tlumočnice,55,55,1
tlumočník,51,51,1
tlustá,34,33,0.9705882352941176
tlustý,43,43,1
tofu,51,51,1
tolerantní,37,37,1
tontota,32,5,0.15625
topení,32,32,1
tornádo,34,33,0.9705882352941176
totalita,32,32,1
toustovač,39,39,1
toužit,30,30,1
továrna,77,77,1
trajekt,29,29,1
traktor,39,39,1
tramvaj,51,51,1
transgender,51,50,0.9803921568627451
transsexuál,32,32,1
transsexuálka,43,43,1
trapná,34,34,1
trapný,43,42,0.9767441860465116
trenér,43,43,1
trenérka,51,51,1
trenýrky,37,37,1
tričko,73,73,1
trojúhelník,42,42,1
trolejbus,33,33,1
trpaslice,43,42,0.9767441860465116
trpaslík,30,30,1
trpká,49,49,1
trpký,33,33,1
trpělivá,31,31,1
trpělivý,46,46,1
trpět,51,51,1
trumpeta,41,41,1
trvat,33,33,1
trychtýř,39,39,1
trápit,32,32,1
tráva,34,33,0.9705882352941176
trůn,41,41,1
tržnice,51,51,1
tsunami,30,30,1
tuberkulóza,55,55,1
tuleň,39,39,1
tulipán,37,37,1
tunel,38,38,1
tupá,32,32,1
tupý,36,36,1
tučná,44,44,1
tučný,32,32,1
tučňák,42,42,1
tuřín,37,37,1
tužka,84,84,1
tvaroh,51,51,1
tvořit,34,34,1
tvrdit,30,30,1
tvrdohlavá,33,33,1
tvrdohlavý,49,49,1
tvrdá,33,33,1
tvrdý,36,36,1
tweetovat,29,29,1
tygr,75,75,1
táta,51,51,1
tóra,32,26,0.8125
tělo,32,32,1
těsná,51,51,1
těsný,43,42,0.9767441860465116
těšit se,49,49,1
těžká,29,29,1
těžký,51,51,1
třešeň,38,38,1
ucho,75,75,1
udeřit,29,29,1
udržovaná,30,30,1
udržovaný,36,36,1
ufo,39,39,1
ukazováček,39,39,1
uklízet,33,33,1
uklízeč,32,32,1
uklízečka,34,34,1
ulice,33,33,1
umožnit,31,31,1
umyvadlo,42,42,1
umělec,46,46,1
umělkyně,36,36,1
umělá,36,36,1
umělý,51,51,1
umět,46,46,1
unavená,33,33,1
unavený,49,49,1
unikátní,29,29,1
univerzita,43,43,1
upovídaná,35,35,1
upovídaný,30,30,1
uprchlice,51,51,1
uprchlík,43,43,1
upřímná,32,32,1
upřímný,35,35,1
uraženost,43,43,1
urážlivá,43,43,1
urážlivý,34,34,1
usmívat se,36,36,1
ustaranost,35,35,1
utečenec,36,35,0.9722222222222222
utečenkyně,37,37,1
utkání,33,33,1
utlačovaná,34,34,1
utlačovaný,36,36,1
utéct,44,44,1
utíkat,37,37,1
uvažovat,30,30,1
uvnít,55,12,0.21818181818181817
uvolnit,55,55,1
uvázat,37,37,1
uvědomovat si,32,32,1
uzavřená,36,36,1
uzavřený,51,51,1
uzdravit se,55,55,1
uzel,41,41,1
učit,29,29,1
učitel,34,34,1
učitelka,43,43,1
učitelství,32,32,1
užívat si,55,55,1
vadit,33,33,1
vadnout,34,34,1
vagina,34,34,1
vaječníky,34,34,1
valcha,43,41,0.9534883720930233
valčík,29,29,1
vana,41,41,1
varlata,31,31,1
varovat,31,31,1
vařečka,43,43,1
vařit,33,33,1
vdaná,37,37,1
vdolek,36,36,1
vděčnost,37,37,1
vedoucí,55,55,1
vegan,55,55,1
veganka,51,51,1
vegetarián,44,44,1
vegetariánka,34,34,1
vejce,76,76,1
velbloud,42,42,1
velkoměsto,51,51,1
velká,32,32,1
velký,33,33,1
velryba,39,39,1
venkov,32,32,1
venkovská,37,37,1
venkovský,55,55,1
venuše,46,46,1
vepřové,43,43,1
verš,51,51,1
veselá,34,34,1
veselý,43,43,1
vesnice,37,36,0.972972972972973
veverka,94,94,1
večerka,37,37,1
večeře,34,34,1
veřejnoprávní,30,30,1
veřejná,29,29,1
veřejný,51,51,1
veš,37,37,1
vidle,35,35,1
vidlička,41,41,1
vidět,31,31,1
vinná,43,42,0.9767441860465116
vinný,34,34,1
viróza,35,35,1
vlajka,39,39,1
vlak,73,73,1
vlaný,43,5,0.11627906976744186
vlas,55,55,1
vlasatá,33,33,1
vlasatý,46,46,1
vlast,37,37,1
vlastenec,36,36,1
vlastenka,51,51,1
vlastní,32,32,1
vlasy,75,75,1
vlhká,32,32,1
vlhký,43,42,0.9767441860465116
vlk,39,39,1
vlna,38,38,1
vláda,35,35,1
vládnout,43,43,1
vnitřnosti,33,33,1
vnuk,37,37,1
vnučka,32,32,1
vnímat,37,37,1
vnímavá,36,36,1
vnímavý,51,51,1
voda,33,33,1
vodka,51,51,1
vojačka,36,36,1
voják,74,74,1
volant,41,41,1
volat,34,34,1
volejbal,32,32,1
volit,33,33,1
volná,34,34,1
volný,31,31,1
vonět,51,51,1
vosa,75,75,1
vousy,74,74,1
vozík,38,38,1
voňavka,36,36,1
voňavá,49,49,1
voňavý,37,37,1
vrah,51,51,1
vražedkyně,43,43,1
vrba,46,46,1
vrtačka,30,30,1
vrtulník,92,92,1
vráska,37,37,1
vrásky,41,41,1
vrátit,31,31,1
vstát,37,37,1
vtip,35,35,1
vtipná,33,33,1
vtipný,36,36,1
vugáro,51,4,0.0784313725490196
vulgární,29,29,1
vybíravá,37,37,1
vybíravý,33,33,1
vychovatel,43,43,1
vychovatelka,31,31,1
vychýlená,49,49,1
vychýlený,37,37,1
vydržet,35,35,1
vydírat,37,37,1
vyhrát,49,49,1
vyhášit,51,6,0.11764705882352941
vymyslet,51,51,1
vymyšlená,29,29,1
vymyšlený,36,36,1
vynález,31,31,1
vynálezce,33,33,1
vynálezkyně,36,36,1
vypadat,51,51,1
vypočítavá,51,50,0.9803921568627451
vypočítavý,51,51,1
vyprávět,37,37,1
vypůjčená,51,51,1
vypůjčený,37,37,1
vyrovnaná,55,55,1
vyrovnaný,29,29,1
vyrábět,37,37,1
vyrážka,43,43,1
vysoká,49,49,1
vysoký,33,33,1
vysvětlit,34,33,0.9705882352941176
vysílačka,29,29,1
vytvořit,36,36,1
vytírat,37,37,1
využít,37,37,1
vyznání,35,35,1
vyzáblá,33,33,1
vyzáblý,29,29,1
vyčpělá,35,34,0.9714285714285714
vyčpělý,37,31,0.8378378378378378
vyřešit,51,51,1
vzbudit se,44,44,1
vzdorovitá,37,36,0.972972972972973
vzdorovitý,51,51,1
vzduch,34,34,1
vzdát,37,37,1
vzdělaná,30,30,1
vzdělaný,46,46,1
vznikat,51,51,1
vzpomínat,51,51,1
vzít,29,29,1
váhavá,35,35,1
váhavý,30,30,1
váhy,42,42,1
válka,55,55,1
vánočka,51,51,1
vázat,51,51,1
vážka,38,38,1
vést,32,32,1
víceznačná,44,43,0.9772727272727273
víceznačný,37,37,1
víla,76,76,1
víno,37,37,1
vínová,46,46,1
vínový,32,32,1
víra,29,29,1
vítr,33,33,1
vítězství,49,49,1
výjimka,51,51,1
výpasil,31,6,0.1935483870967742
výstava,37,37,1
výstřední,49,49,1
výtah,39,39,1
výtvarka,34,34,1
včasná,37,37,1
včasný,33,33,1
včela,75,75,1
včera,29,29,1
věda,37,37,1
vědec,49,49,1
vědkyně,33,33,1
vědět,34,34,1
vějíř,38,38,1
věnovat,29,29,1
věrná,36,36,1
věrný,37,37,1
větev,41,41,1
větrák,41,41,1
většina,36,36,1
vězení,41,41,1
vězeň,36,36,1
vězeňkyně,51,51,1
věznice,55,55,1
věčná,30,30,1
věčný,46,46,1
věřit,33,33,1
věřící,37,37,1
věštec,51,51,1
věštkyně,35,35,1
věž,39,39,1
vřes,46,40,0.8695652173913043
všežravec,36,36,1
vůl,32,32,1
walkman,55,55,1
web,32,32,1
whisky,36,36,1
workoholismus,35,35,1
zabránit,51,51,1
zabít,46,46,1
zachránit,43,42,0.9767441860465116
zadek,43,42,0.9767441860465116
zadní,37,37,1
zahrada,30,30,1
zahradnice,36,36,1
zahradničit,33,33,1
zahradník,43,43,1
zajišťovat,33,33,1
zajímavá,51,51,1
zajímavý,36,36,1
zamilovaná,36,36,1
zamilovaný,30,30,1
zanedbaná,32,32,1
zanedbaný,37,37,1
zapalovač,41,41,1
zaplatit,32,32,1
zapoklít,51,7,0.13725490196078433
zapomenout,31,31,1
zapést,51,14,0.27450980392156865
zarostlá,43,42,0.9767441860465116
zarostlý,51,51,1
zasnoubit se,43,43,1
zasraná,51,51,1
zasraný,33,33,1
zastaralá,37,37,1
zastaralý,32,32,1
zatkýs,46,5,0.10869565217391304
zaujatost,51,51,1
zavolat,32,32,1
zavřít,55,55,1
začít,35,35,1
zažít,31,31,1
zbabělá,36,36,1
zbabělý,37,37,1
zboděno,51,6,0.11764705882352941
zbožná,36,36,1
zbožný,49,49,1
zbraň,43,43,1
zdravotnice,51,51,1
zdravotník,44,44,1
zdravá,35,35,1
zdraví,33,33,1
zdravý,36,36,1
zdvořilá,31,31,1
zdvořilý,36,36,1
zebra,39,39,1
zednice,37,36,0.972972972972973
zedník,32,32,1
zelená,37,37,1
zelený,36,36,1
zem,29,29,1
země,30,30,1
zeměpis,35,35,1
zemřít,37,37,1
zeď,39,39,1
zeť,35,35,1
zhebnout,51,51,1
zima,37,37,1
zimomřivá,43,41,0.9534883720930233
zimomřivý,32,32,1
zip,38,38,1
zisková,43,42,0.9767441860465116
ziskový,34,34,1
zjistit,36,36,1
zkažená,43,42,0.9767441860465116
zkažený,32,32,1
zklamání,49,49,1
zkorumpovaná,43,42,0.9767441860465116
zkorumpovaný,31,31,1
zkoumat,44,44,1
zkusit,43,43,1
zlato,36,36,1
zlatokop,34,34,1
zlatokopka,51,51,1
zlatá,44,44,1
zlatý,32,32,1
zlomenina,43,43,1
zlomyslná,44,44,1
zlomyslný,51,51,1
zlosyn,49,48,0.9795918367346939
zlá,33,33,1
zlý,29,29,1
zmije,32,32,1
zmizet,33,33,1
zmrd,44,44,1
zmrzlina,38,38,1
změna,49,49,1
změnit,36,36,1
znamenat,43,42,0.9767441860465116
znechucení,36,36,1
znečištění,51,51,1
zničit,37,37,1
známka,39,39,1
znásilnit,44,44,1
znásilnění,29,29,1
znát,36,36,1
zobák,41,41,1
zoufalá,44,44,1
zoufalý,51,51,1
zpovídat se,34,33,0.9705882352941176
zpívat,37,37,1
zpěvačka,43,43,1
zpěvák,76,76,1
zralá,34,34,1
zralý,43,43,1
zrcadlo,39,39,1
zrušit,55,54,0.9818181818181818
zrzavá,32,32,1
zrzavý,33,32,0.9696969696969697
ztratit,35,35,1
ztrátová,32,32,1
ztrátový,44,44,1
zub,92,92,1
zubař,76,76,1
zubařka,51,51,1
zuřivá,37,37,1
zuřivý,49,49,1
zvládnout,51,51,1
zvláštní,44,44,1
zvon,42,42,1
zvonek,38,38,1
zvracet,29,29,1
zvíře,43,42,0.9767441860465116
zvířecí,32,32,1
zvědavost,49,49,1
zábrost,35,8,0.22857142857142856
záchod,43,42,0.9767441860465116
záchranář,33,33,1
záchranářka,43,43,1
záda,84,84,1
zádran,30,1,0.03333333333333333
zákolník,235,67,0.2851063829787234
zámek,41,41,1
zánět,43,43,1
zápas,51,51,1
zápství,33,6,0.18181818181818182
zápěvný,43,11,0.2558139534883721
zásadová,33,33,1
zásadový,34,34,1
zástupce,43,43,1
zástupkyně,55,55,1
zástěra,76,76,1
závislá,33,33,1
závislý,49,49,1
závistivá,36,36,1
závistivý,37,37,1
závěs,39,39,1
zírat,33,33,1
získat,32,32,1
zúčastnit se,33,33,1
zůstávat,36,36,1
Ústí nad Labem,31,31,1
úporlivá,37,21,0.5675675675675675
úraz,51,51,1
úsečka,30,30,1
úsměv,34,33,0.9705882352941176
ústa,71,71,1
ústip,31,1,0.03225806451612903
úzkost,29,29,1
úzkostná,46,46,1
úzkostný,31,31,1
úzká,31,31,1
úzký,36,35,0.9722222222222222
účetní,29,29,1
úřad,49,49,1
úřednice,35,35,1
úředník,34,34,1
Čech,33,33,1
Čechoslovačka,32,32,1
Čechoslovák,31,30,0.967741935483871
Čechy,43,43,1
Česko,37,37,1
Československo,37,37,1
České Budějovice,37,37,1
Češka,34,34,1
Čína,51,51,1
čaj,35,35,1
čajovna,37,37,1
čaroděj,39,39,1
čarodějnice,38,38,1
časopis,44,44,1
čekat,55,55,1
čelo,31,30,0.967741935483871
čepice,36,36,1
černobílá,37,37,1
černobílý,44,44,1
černovlasá,37,37,1
černovlasý,36,36,1
černá,51,51,1
černý,31,31,1
čerstvá,30,30,1
čerstvý,29,29,1
čert,70,70,1
čertice,37,34,0.918918918918919
červ,43,42,0.9767441860465116
červenat se,36,36,1
červená,44,43,0.9772727272727273
červený,37,37,1
čestná,34,34,1
čestný,43,43,1
čeština,37,37,1
činohra,35,35,1
činžák,37,37,1
čistá,31,31,1
čistý,43,42,0.9767441860465116
člověk,49,49,1
čokoláda,78,78,1
čtverec,70,70,1
čubka,29,29,1
čuně,37,37,1
číst,49,49,1
číšník,42,42,1
čůrák,43,42,0.9767441860465116
ňadro,36,36,1
Řecko,31,30,0.967741935483871
řeka,70,70,1
řemeslnice,30,30,1
řemeslník,32,32,1
řemeslo,51,51,1
řetěz,42,42,1
řezat,46,46,1
řeznice,29,29,1
řezník,79,79,1
řešit,51,51,1
řidič,34,34,1
řidička,33,33,1
řvát,35,35,1
říct,32,32,1
řídit,29,29,1
řídká,31,31,1
řídký,51,51,1
řízek,55,55,1
říše,49,49,1
Šimon,43,42,0.9767441860465116
Španělsko,55,55,1
Švédsko,43,43,1
Švýcarsko,33,33,1
šachy,37,37,1
šampaňské,31,31,1
šampon,36,36,1
šedina,49,48,0.9795918367346939
šedá,55,55,1
šedý,30,30,1
šikmá,37,37,1
šikmý,33,33,1
šikovná,46,46,1
šikovný,29,29,1
šimpanz,38,38,1
šipka,38,38,1
široká,37,37,1
široký,51,51,1
škola,37,37,1
školka,34,34,1
školnice,49,47,0.9591836734693877
školník,31,31,1
škrábat,36,36,1
škvor,36,36,1
šlachovitá,34,34,1
šlachovitý,35,34,0.9714285714285714
šlechta,37,37,1
šlehačka,37,37,1
šnek,38,38,1
šosto,51,5,0.09803921568627451
šovat,29,2,0.06896551724137931
šovinismus,37,35,0.9459459459459459
špagety,36,36,1
špaloň,31,3,0.0967741935483871
špatná,46,46,1
špatný,36,36,1
špekatá,46,46,1
špekatý,31,31,1
šperk,36,36,1
špinavá,36,36,1
špinavý,37,37,1
špion,43,42,0.9767441860465116
špionka,51,51,1
špičatá,43,42,0.9767441860465116
špičatý,32,32,1
šplhat,51,51,1
špondový,49,11,0.22448979591836735
špunt,42,42,1
šroubovák,39,39,1
štíhlá,37,37,1
štíhlý,55,55,1
štír,41,41,1
štíslice,37,5,0.13513513513513514
štít,72,72,1
štědrá,37,37,1
štědrý,37,37,1
štěstí,55,55,1
štětec,39,39,1
šukat,49,49,1
šunka,37,37,1
šuplík,42,42,1
švagr,29,29,1
švagrová,34,34,1
šála,41,41,1
šéf,30,30,1
šéfka,32,32,1
šéfkuchař,33,33,1
šéfkuchařka,30,30,1
šílená,32,32,1
šílený,46,46,1
šít,37,37,1
šťastná,34,33,0.9705882352941176
šťastný,32,32,1
žal,43,43,1
žalud,42,42,1
žaludek,32,32,1
žebrat,43,43,1
žehlit,44,44,1
žehlička,39,39,1
žehnat,37,37,1
želva,39,39,1
žena,85,85,1
ženatý,43,43,1
ženská,34,34,1
ženský,36,36,1
žid,35,35,1
židle,39,39,1
židovka,33,33,1
žiletka,41,41,1
žirafa,73,73,1
živedo,32,4,0.125
život,32,32,1
žlutá,29,29,1
žlutý,44,44,1
žonglér,38,38,1
žoule,37,6,0.16216216216216217
žralok,84,84,1
župan,41,41,1
žába,39,39,1
žádat,49,49,1
žárlivá,51,51,1
žárlivý,32,32,1
žárovka,39,39,1
žíla,36,36,1
žít,36,36,1
žíznivá,55,55,1
žíznivý,51,51,1
