item,n_sample_age,n_known_age,prop_known_age
debil,31,31,1
debilka,34,34,1
debilní,51,51,1
dechovka,35,35,1
defenzivní,35,34,0.9714285714285714
degustovat,31,31,1
delfín,38,38,1
delnit,37,9,0.24324324324324326
demence,37,37,1
demokracie,37,37,1
demonstrant,43,43,1
demonstrantka,36,36,1
demonstrovat,51,51,1
deodorant,37,37,1
depilátor,31,29,0.9354838709677419
deprese,32,32,1
depresivní,46,46,1
despotická,30,29,0.9666666666666667
despotický,34,33,0.9705882352941176
detektivka,37,37,1
deviace,55,50,0.9090909090909091
dezert,46,46,1
deštník,42,42,1
diamant,41,41,1
dieta,32,32,1
digitální,33,33,1
diktatura,33,33,1
dinosaurus,39,39,1
diplomat,37,37,1
diplomatka,43,43,1
dirigent,55,55,1
dirigentka,46,46,1
disketa,44,41,0.9318181818181818
diskont,51,36,0.7058823529411765
diskotéka,37,37,1
divadlo,37,37,1
divoká,37,36,0.972972972972973
divoký,35,35,1
dlaň,33,33,1
dlevo,32,3,0.09375
dlouhá,37,37,1
dlouhý,36,36,1
dluh,33,33,1
dobrotivá,43,43,1
dobrotivý,44,44,1
dobrovolná,31,31,1
dobrovolný,37,37,1
dobročinnost,37,37,1
dobrá,32,32,1
dobrý,31,31,1
dobyvatel,34,34,1
dobyvatelka,51,51,1
dochvilná,29,29,1
dochvilný,55,55,1
doktor,87,87,1
doktorka,36,36,1
dokázat,34,34,1
dolní,37,37,1
dominantní,43,43,1
domino,41,41,1
domácí,51,51,1
dort,35,35,1
dospívání,44,44,1
dospělost,51,51,1
dospělá,37,37,1
dospělý,36,36,1
dostilák,46,3,0.06521739130434782
dosáhnout,46,46,1
dotknout se,36,36,1
doufat,35,35,1
dovolit,43,42,0.9767441860465116
dozorce,55,55,1
dozorkyně,46,46,1
dočola,43,3,0.06976744186046512
drahá,49,49,1
drahý,37,37,1
drak,41,41,1
dres,43,42,0.9767441860465116
droga,33,33,1
dron,32,32,1
droždí,51,51,1
družná,46,46,1
družný,30,30,1
drzá,34,34,1
drzý,43,43,1
drůbeží,34,33,0.9705882352941176
držka,32,31,0.96875
dub,37,37,1
duch,39,39,1
dudlík,39,39,1
dudy,38,38,1
dupačky,36,36,1
duše,30,30,1
dveře,42,42,1
dylina,33,32,0.9696969696969697
dynamit,42,42,1
dárek,38,38,1
dát,36,36,1
dávat,55,55,1
démon,34,33,0.9705882352941176
déšť,68,68,1
dítě,78,78,1
dívat se,51,51,1
dýchat,34,34,1
dým,43,42,0.9767441860465116
dýmka,41,41,1
dýně,41,41,1
děda,44,44,1
dějepis,31,31,1
děkovat,46,46,1
dělat,51,51,1
dělo,82,81,0.9878048780487805
děloha,33,33,1
děs,55,55,1
dětská,35,35,1
dětský,37,37,1
dětství,37,37,1
dřevo,36,36,1
dřevěná,30,30,1
dřevěný,36,36,1
dřez,36,36,1
důchod,1242,1242,1
dům,73,73,1
důvěryhodná,36,36,1
důvěryhodný,35,35,1
e-mail,36,36,1
efektivní,51,51,1
ekolog,51,51,1
ekologie,33,33,1
ekoložka,44,44,1
ekonom,37,37,1
ekonomie,36,36,1
ekonomika,51,51,1
ekonomka,29,29,1
elektrikář,36,36,1
elektrikářka,37,37,1
elektrárna,32,32,1
elektřina,32,32,1
elf,34,34,1
elfka,31,31,1
emancipace,31,31,1
emigrace,55,55,1
emigrant,34,34,1
emigrantka,37,37,1
empatická,36,36,1
empatický,34,34,1
environmentalismus,33,33,1
epidemie,31,31,1
epos,43,42,0.9767441860465116
erotika,37,37,1
espresso,37,37,1
estrogen,34,34,1
evoluce,32,32,1
exekutor,34,34,1
exekutorka,32,32,1
exil,55,55,1
existovat,49,49,1
exotika,32,32,1
extrovertní,37,37,1
extrémní,36,36,1
extáze,51,51,1
falešná,37,37,1
falešný,36,36,1
fanatická,49,49,1
fanatický,37,37,1
fanoušek,33,33,1
fanynka,43,43,1
farma,42,42,1
farmář,29,29,1
farmářka,51,51,1
fastfood,34,34,1
fax,31,29,0.9354838709677419
fašizmus,33,33,1
federalismus,51,50,0.9803921568627451
feminismus,51,51,1
fetovat,31,31,1
feťačka,34,34,1
feťák,30,30,1
fialová,36,36,1
fialový,51,51,1
filantrop,31,27,0.8709677419354839
filantropka,33,31,0.9393939393939394
filet,31,30,0.967741935483871
film,36,36,1
filosofie,37,37,1
filozofie,33,33,1
firma,32,32,1
flashdisk,43,42,0.9767441860465116
flept,36,5,0.1388888888888889
florbal,36,36,1
flétna,42,42,1
folklor,31,31,1
formule,49,49,1
fotbal,55,55,1
fotbalista,36,36,1
fotbalistka,34,34,1
fotograf,33,33,1
fotografka,34,34,1
foukat,51,50,0.9803921568627451
foukos,36,5,0.1388888888888889
frak,36,36,1
francouzština,43,42,0.9767441860465116
frustrace,49,49,1
frustrovaná,34,34,1
frustrovaný,43,42,0.9767441860465116
fungovat,51,51,1
fungující,49,49,1
fyzika,29,29,1
fádní,36,34,0.9444444444444444
fén,49,49,1
fík,39,39,1
galerie,51,51,1
garáž,36,36,1
gauč,42,42,1
gay,34,34,1
gender,49,49,1
gerbera,31,27,0.8709677419354839
globální,34,33,0.9705882352941176
golf,34,34,1
gorila,90,90,1
gotika,36,36,1
gramofon,33,33,1
granát,34,34,1
granátové jablko,39,39,1
grilovat,33,33,1
guma,39,39,1
guru,44,44,1
guvernér,35,35,1
guvernérka,44,44,1
gymnasta,35,35,1
gymnastika,36,36,1
gymnastka,51,51,1
gymnázium,34,34,1
gynekolog,37,37,1
gynekoložka,33,33,1
gól,44,44,1
hackovat,36,36,1
had,70,70,1
hadice,38,38,1
hadr,37,37,1
halušky,51,51,1
hamburger,74,74,1
hardware,32,32,1
harfa,42,42,1
harmonika,38,38,1
hasicí přístroj,39,39,1
hasič,71,71,1
hasička,37,37,1
helma,42,42,1
herna,33,33,1
heroin,51,51,1
hever,34,34,1
hezká,55,55,1
hezký,37,37,1
hinduismus,43,42,0.9767441860465116
hinduista,51,51,1
hinduistka,34,34,1
historická,33,33,1
historický,49,48,0.9795918367346939
historik,43,43,1
historička,36,36,1
hladká,51,51,1
hladký,44,44,1
hladová,37,37,1
hladový,37,37,1
hlasitá,37,37,1
hlasitý,36,36,1
hlava,34,34,1
hledat,43,43,1
hliněná,36,35,0.9722222222222222
hliněný,37,37,1
hloud,35,4,0.11428571428571428
hloupost,34,34,1
hloupá,43,42,0.9767441860465116
hloupý,31,31,1
hluboká,34,33,0.9705882352941176
hluboký,43,42,0.9767441860465116
hluchá,29,29,1
hluchý,55,55,1
hlupačka,36,36,1
hlupák,36,36,1
hlást,37,8,0.21621621621621623
hmyz,44,44,1
hnisat,36,36,1
hnáta,36,36,1
hnědovlasá,32,32,1
hnědovlasý,51,51,1
hnědá,51,51,1
hnědý,29,29,1
hněv,30,30,1
hodinky,94,94,1
hodná,33,33,1
hodný,31,31,1
hojit,37,37,1
hokej,55,55,1
holinky,49,49,1
holič,34,34,1
holička,36,36,1
holka,37,37,1
holubinka,44,38,0.8636363636363636
homofobie,32,32,1
homosexuál,30,30,1
hora,77,77,1
hornice,37,31,0.8378378378378378
horní,43,42,0.9767441860465116
horník,36,36,1
horolezení,43,42,0.9767441860465116
horor,44,43,0.9772727272727273
hosný,49,9,0.1836734693877551
hospoda,31,31,1
hospodář,37,37,1
hospodářka,43,43,1
hostinská,51,51,1
hostinský,37,37,1
houba,90,90,1
houpačka,46,46,1
housenka,38,38,1
houska,32,32,1
housle,38,38,1
housnit,37,7,0.1891891891891892
hovaný,49,7,0.14285714285714285
hovno,36,36,1
hovořit,31,31,1
hovězí,30,30,1
hořet,32,32,1
hořká,35,35,1
hořký,32,32,1
hořčice,36,36,1
hra,32,32,1
hrabě,51,51,1
hraběnka,51,51,1
hrad,39,39,1
hranatá,37,36,0.972972972972973
hranatý,31,31,1
hranice,30,30,1
hranolky,32,32,1
hračka,30,30,1
hrbatá,31,31,1
hrbatý,55,55,1
hrnec,39,39,1
hroch,39,39,1
hrozit,34,34,1
hrubá,49,49,1
hrubý,37,37,1
hruď,46,46,1
hruška,42,41,0.9761904761904762
hrábě,46,46,1
hrásní,31,2,0.06451612903225806
hrát,36,36,1
hráznout,55,8,0.14545454545454545
huba,55,54,0.9818181818181818
hubená,51,51,1
hubený,44,44,1
hudba,36,36,1
hudebka,37,37,1
hulit,37,37,1
hulábová,36,3,0.08333333333333333
hurikán,51,51,1
hustá,51,51,1
hustý,44,44,1
hvězda,85,85,1
hyperaktivita,44,44,1
hypotéka,55,55,1
hysterická,55,55,1
hysterický,37,37,1
hysterie,31,31,1
házet,46,46,1
hřbitov,39,39,1
hřeben,82,82,1
hřešit,43,43,1
hřib,49,49,1
hřích,37,37,1
hůl,73,73,1
ideologie,33,33,1
idiot,51,51,1
idiotka,43,42,0.9767441860465116
idol,37,37,1
ignorovat,31,31,1
imigrace,51,51,1
imigrant,43,43,1
imigrantka,46,46,1
imperialismus,33,33,1
impotence,37,35,0.9459459459459459
imám,31,11,0.3548387096774194
individualismus,35,35,1
indián,42,42,1
infarkt,32,32,1
infekce,29,29,1
informatika,32,32,1
informovat,36,36,1
injekce,39,39,1
inovativní,31,31,1
inspektor,36,36,1
