item,age_PC1,age_PC2,age_PC3,n_known_age,age_mode,prop_mode,n_mode,0_6,07_17,18_30,31_50,51_65,66_80,81+,no age,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
chat,3.016710956962677,-0.4560796633867899,2.359795199633979,31,18-30,0.46505376344086025,1,0.02150537634408602,0.4005376344086022,0.46505376344086025,0.04032258064516128,0.008064516129032258,0,0,0.06451612903225806,NA,NA,chat,chat,m,i,cz,words,noun,word_248,sociolex
chata,-2.8567969150351944,-0.5827529006995962,0.8419292017611969,33,51-65,0.32929292929292936,1,0,0.0202020202020202,0.08686868686868689,0.22323232323232323,0.32929292929292936,0.13232323232323231,0.08686868686868689,0.12121212121212122,NA,NA,chata,hut,f,i,cz,words,noun,word_249,sociolex
chatovat,2.548040379317926,0.029519200121102835,1.589788298696487,46,07-17,0.4528985507246376,1,0.010869565217391304,0.4528985507246376,0.26811594202898553,0.08333333333333334,0.03260869565217391,0,0,0.15217391304347827,NA,NA,chatovat,to chat (online),NA,NA,cz,words,verb,word_250,sociolex
chcát,1.0361087322605265,0.12515190758377379,0.5992548010707657,46,07-17,0.24818840579710144,1,0.04528985507246376,0.24818840579710144,0.22282608695652173,0.08876811594202898,0.11231884057971013,0.021739130434782608,0.021739130434782608,0.2391304347826087,NA,NA,chcát,to piss,NA,NA,cz,words,verb,word_251,sociolex
chemie,0.5671309147748342,-0.4462669865515683,-0.13551458669319985,37,no age,0.2972972972972973,1,0.0038610038610038607,0.1871943371943372,0.18719433719433723,0.1962033462033462,0.0925997425997426,0.03178893178893179,0.0038610038610038607,0.2972972972972973,NA,NA,chemie,chemistry (science),f,i,cz,words,noun,word_252,sociolex
chilli,1.129794511741019,-0.1606059942451413,-1.032423237802957,34,no age,0.4411764705882353,1,0.04411764705882353,0.034313725490196074,0.3431372549019608,0.08823529411764706,0.0392156862745098,0.00980392156862745,0,0.4411764705882353,NA,NA,chilli,chilli,n,i,cz,words,noun,word_253,sociolex
chipsy,3.01404812866508,0.6415832277390698,1.7811825014489595,51,07-17,0.4969187675070027,1,0.04920634920634921,0.4969187675070027,0.261624649859944,0.023062558356676005,0.0067226890756302525,0.0028011204481792717,0.0028011204481792717,0.1568627450980392,NA,NA,chipsy,chips,m,i,cz,words,noun,word_254,sociolex
chirurg,-1.9677859584935806,-2.7838659877088396,0.04193724854152016,37,31-50,0.46486486486486484,1,0,0,0.12252252252252252,0.46486486486486484,0.3027027027027028,0.023423423423423424,0.005405405405405406,0.08108108108108109,NA,NA,chirurg,surgeon (male),m,a,cz,words,noun,word_255,sociolex
chirurgyně,-1.0727730404449802,-2.7360978859799916,-0.7355536056201721,33,31-50,0.5858585858585859,1,0,0,0.101010101010101,0.5858585858585859,0.11616161616161615,0,0.015151515151515152,0.18181818181818182,NA,NA,chirurgyně,surgeon (female),f,a,cz,words,noun,word_256,sociolex
chladná,-0.8546846832567478,0.21599781914182772,-0.8235903575287803,35,no age,0.4,1,0.008163265306122448,0.017687074829931974,0.14149659863945577,0.17959183673469384,0.10816326530612246,0.07006802721088436,0.07482993197278912,0.4,NA,NA,chladná,cold (temperature),f,NA,cz,words,adjective,word_257,sociolex
chladný,-0.710746636012859,1.2894262119546194,-1.1966584242503222,33,no age,0.5151515151515151,1,0.008658008658008658,0.023809523809523808,0.1248196248196248,0.05916305916305916,0.08946608946608946,0.07936507936507936,0.09956709956709957,0.5151515151515151,NA,NA,chladný,cold (temperature),m,NA,cz,words,adjective,word_258,sociolex
chlastat,1.187101970305281,-1.8610145874298696,1.2961045453672668,32,18-30,0.4880208333333334,1,0,0.12864583333333335,0.4880208333333334,0.19114583333333332,0.09218749999999999,0.00625,0,0.09375,NA,NA,chlastat,to drink (alcohol),NA,NA,cz,words,verb,word_259,sociolex
chleba,-0.9116971348647237,1.0645646928614767,-1.1988725454520806,36,no age,0.4722222222222222,1,0.04365079365079364,0.05476190476190476,0.046428571428571416,0.10892857142857143,0.12281746031746033,0.12281746031746033,0.02837301587301587,0.4722222222222222,NA,NA,chleba,bread,m,i,cz,words,noun,word_260,sociolex
chlup,-1.2064952191407432,0.7452327298890171,0.1590483645796946,37,no age,0.2972972972972973,1,0.03474903474903475,0.08745173745173744,0.10051480051480051,0.1207850707850708,0.15682110682110686,0.12754182754182755,0.07483912483912483,0.2972972972972973,NA,NA,chlup,hair,m,i,cz,words,noun,word_261,sociolex
chlupatá,-1.1576321660452251,0.4602580599729366,-0.3651217876730694,51,no age,0.37254901960784315,1,0,0.017973856209150325,0.1852941176470588,0.08071895424836602,0.16895424836601305,0.1084967320261438,0.06601307189542484,0.37254901960784315,NA,NA,chlupatá,hairy,f,NA,cz,words,adjective,word_262,sociolex
chlupatý,-1.0793670064277179,-0.15073133156501187,-0.3478172490693627,44,no age,0.3181818181818182,1,0.022727272727272728,0.018939393939393936,0.1784090909090909,0.14431818181818182,0.19356060606060607,0.08750000000000001,0.03636363636363636,0.3181818181818182,NA,NA,chlupatý,hairy,m,NA,cz,words,adjective,word_263,sociolex
chobotnice,1.4022247251563595,0.9011075976559126,-2.0728889056072966,30,no age,0.6,1,0.07777777777777778,0.06111111111111111,0.2111111111111111,0.05,0,0,0,0.6,NA,NA,chobotnice,octopus,f,a,cz,words,noun,word_264,sociolex
chodidlo,0.44285389946302584,1.3908749760170513,-1.3470578458697706,75,no age,0.4666666666666667,1,0.17936507936507937,0.050476190476190466,0.08203174603174605,0.09314285714285715,0.05314285714285714,0.035365079365079356,0.0398095238095238,0.4666666666666667,PICTURE_455,1,chodidlo,foot,n,i,cz,words,noun,image_260,multipic
chodit,0.9427029775418723,1.1027452007062266,-0.817400321919139,33,no age,0.3939393939393939,1,0.19076479076479078,0.09733044733044734,0.13773448773448776,0.07712842712842713,0.06197691197691197,0.023088023088023088,0.018037518037518036,0.3939393939393939,NA,NA,chodit,to walk,NA,NA,cz,words,verb,word_266,sociolex
