item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
divadlo,NA,NA,divadlo,theatre,n,i,cz,words,noun,word_376,sociolex
dlaň,NA,NA,dlaň,palm (hand),f,i,cz,words,noun,word_380,sociolex
dluh,NA,NA,dluh,debt,m,i,cz,words,noun,word_383,sociolex
dobročinnost,NA,NA,dobročinnost,charity,f,i,cz,words,noun,word_385,sociolex
dort,NA,NA,dort,cake,m,i,cz,words,noun,word_401,sociolex
dospělost,NA,NA,dospělost,adulthood,f,i,cz,words,noun,word_404,sociolex
dospívání,NA,NA,dospívání,adolescence,n,i,cz,words,noun,word_406,sociolex
dres,NA,NA,dres,outfit,m,i,cz,words,noun,word_414,sociolex
dřevo,NA,NA,dřevo,wood,n,i,cz,words,noun,word_417,sociolex
dřez,NA,NA,dřez,sink,m,i,cz,words,noun,word_418,sociolex
droga,NA,NA,droga,drug,f,i,cz,words,noun,word_419,sociolex
dron,NA,NA,dron,drone,m,i,cz,words,noun,word_420,sociolex
droždí,NA,NA,droždí,yeast,n,i,cz,words,noun,word_421,sociolex
drůbeží,NA,NA,drůbeží,poultry,n,i,cz,words,noun,word_422,sociolex
držka,NA,NA,držka,gob,f,i,cz,words,noun,word_426,sociolex
dub,NA,NA,dub,oak,m,i,cz,words,noun,word_428,sociolex
dupačky,NA,NA,dupačky,romper,f,i,cz,words,noun,word_430,sociolex
duše,NA,NA,duše,soul,f,i,cz,words,noun,word_431,sociolex
dým,NA,NA,dým,smoke,m,i,cz,words,noun,word_436,sociolex
e-mail,NA,NA,e-mail,e-mail,m,i,cz,words,noun,word_437,sociolex
Egypt,NA,NA,Egypt,Egypt,m,i,cz,words,noun,word_439,sociolex
ekologie,NA,NA,ekologie,ecology,f,i,cz,words,noun,word_441,sociolex
ekonomie,NA,NA,ekonomie,economics,f,i,cz,words,noun,word_444,sociolex
ekonomika,NA,NA,ekonomika,economy,f,i,cz,words,noun,word_445,sociolex
elektrárna,NA,NA,elektrárna,power station,f,i,cz,words,noun,word_447,sociolex
elektřina,NA,NA,elektřina,electricity,f,i,cz,words,noun,word_450,sociolex
emancipace,NA,NA,emancipace,emancipation,f,i,cz,words,noun,word_454,sociolex
emigrace,NA,NA,emigrace,emigration,f,i,cz,words,noun,word_455,sociolex
environmentalismus,NA,NA,environmentalismus,environmentalism,m,i,cz,words,noun,word_460,sociolex
epidemie,NA,NA,epidemie,epidemic,f,i,cz,words,noun,word_461,sociolex
epos,NA,NA,epos,epic (poetry),m,i,cz,words,noun,word_462,sociolex
erotika,NA,NA,erotika,erotica,f,i,cz,words,noun,word_463,sociolex
espresso,NA,NA,espresso,espresso,n,i,cz,words,noun,word_464,sociolex
