item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
instalatér,PICTURE_294,1,instalatér,plumber (male),m,a,cz,words,noun,image_150,multipic
mim,PICTURE_303,1,mim,mime (male),m,a,cz,words,noun,image_156,multipic
kadeřník,PICTURE_313,1,kadeřník,barber (male),m,a,cz,words,noun,image_163,multipic
voják,PICTURE_317,1,voják,soldier (male),m,a,cz,words,noun,image_166,multipic
příšera,PICTURE_337,1,příšera,monster (female),f,a,cz,words,noun,image_179,multipic
sochař,PICTURE_376,1,sochař,sculptor (male),m,a,cz,words,noun,image_205,multipic
baletka,PICTURE_399,1,baletka,ballerina (female),f,a,cz,words,noun,image_221,multipic
král,PICTURE_451,1,král,king (male),m,a,cz,words,noun,image_256,multipic
soudce,PICTURE_466,1,soudce,judge (male),m,a,cz,words,noun,image_270,multipic
hasič,PICTURE_048,1,hasič,fireman (male),m,a,cz,words,noun,image_279,multipic
kluk,PICTURE_499,1,kluk,boy (male),m,a,cz,words,noun,image_291,multipic
pastýř,PICTURE_502,1,pastýř,farmer (male),m,a,cz,words,noun,image_295,multipic
dítě,PICTURE_507,1,dítě,baby,n,a,cz,words,noun,image_299,multipic
indián,PICTURE_524,1,indián,indian (Native American) (male),m,a,cz,words,noun,image_310,multipic
klaun,PICTURE_532,1,klaun,clown (male),m,a,cz,words,noun,image_316,multipic
kosmonaut,PICTURE_539,1,kosmonaut,astronaut (male),m,a,cz,words,noun,image_321,multipic
žonglér,PICTURE_572,1,žonglér,juggler (male),m,a,cz,words,noun,image_350,multipic
královna,PICTURE_614,1,královna,queen (female),f,a,cz,words,noun,image_384,multipic
pilot,PICTURE_669,1,pilot,pilot (male),m,a,cz,words,noun,image_420,multipic
muž,PICTURE_691,1,muž,man (male),m,a,cz,words,noun,image_438,multipic
víla,PICTURE_007,1,víla,fairy (female),f,a,cz,words,noun,image_445,multipic
plavec,PICTURE_709,1,plavec,swimming (male),m,a,cz,words,noun,image_452,multipic
doktor,PICTURE_710,1,doktor,doctor (male),m,a,cz,words,noun,image_454,multipic
číšník,PICTURE_726,1,číšník,waiter (male),m,a,cz,words,noun,image_462,multipic
čaroděj,PICTURE_736,1,čaroděj,wizard (male),m,a,cz,words,noun,image_470,multipic
rybář,PICTURE_740,1,rybář,fisherman (male),m,a,cz,words,noun,image_472,multipic
PICTURE_012,PICTURE_012,1,mořská panna,mermaid (female),f,a,cz,colour,noun,image_20,multipic
PICTURE_131,PICTURE_131,1,zpěvák,singer (male),m,a,cz,colour,noun,image_29,multipic
PICTURE_139,PICTURE_139,1,duch,ghost (male),m,a,cz,colour,noun,image_32,multipic
PICTURE_016,PICTURE_016,1,lovec,hunter (male),m,a,cz,colour,noun,image_49,multipic
PICTURE_017,PICTURE_017,1,čert,devil (male),m,a,cz,colour,noun,image_57,multipic
PICTURE_175,PICTURE_175,1,malíř,artist (male),m,a,cz,colour,noun,image_61,multipic
PICTURE_184,PICTURE_184,1,čarodějnice,witch (female),f,a,cz,colour,noun,image_65,multipic
PICTURE_021,PICTURE_021,1,boxer,boxer (person) (male),m,a,cz,colour,noun,image_85,multipic
PICTURE_239,PICTURE_239,1,žena,woman (female),f,a,cz,colour,noun,image_106,multipic
PICTURE_242,PICTURE_242,1,pošťák,postman (male),m,a,cz,colour,noun,image_110,multipic
PICTURE_246,PICTURE_246,1,zubař,dentist (male),m,a,cz,colour,noun,image_113,multipic
PICTURE_254,PICTURE_254,1,řezník,butcher (person) (male),m,a,cz,colour,noun,image_119,multipic
PICTURE_265,PICTURE_265,1,pirát,pirate (male),m,a,cz,colour,noun,image_126,multipic
PICTURE_029,PICTURE_029,1,kovboj,cowboy (male),m,a,cz,colour,noun,image_145,multipic
PICTURE_294,PICTURE_294,1,instalatér,plumber (male),m,a,cz,colour,noun,image_150,multipic
PICTURE_303,PICTURE_303,1,mim,mime (male),m,a,cz,colour,noun,image_156,multipic
PICTURE_313,PICTURE_313,1,kadeřník,barber (male),m,a,cz,colour,noun,image_163,multipic
PICTURE_317,PICTURE_317,1,voják,soldier (male),m,a,cz,colour,noun,image_166,multipic
PICTURE_337,PICTURE_337,1,příšera,monster (female),f,a,cz,colour,noun,image_179,multipic
PICTURE_376,PICTURE_376,1,sochař,sculptor (male),m,a,cz,colour,noun,image_205,multipic
PICTURE_399,PICTURE_399,1,baletka,ballerina (female),f,a,cz,colour,noun,image_221,multipic
PICTURE_451,PICTURE_451,1,král,king (male),m,a,cz,colour,noun,image_256,multipic
PICTURE_466,PICTURE_466,1,soudce,judge (male),m,a,cz,colour,noun,image_270,multipic
PICTURE_048,PICTURE_048,1,hasič,fireman (male),m,a,cz,colour,noun,image_279,multipic
PICTURE_499,PICTURE_499,1,kluk,boy (male),m,a,cz,colour,noun,image_291,multipic
PICTURE_502,PICTURE_502,1,pastýř,farmer (male),m,a,cz,colour,noun,image_295,multipic
PICTURE_507,PICTURE_507,1,dítě,baby,n,a,cz,colour,noun,image_299,multipic
PICTURE_524,PICTURE_524,1,indián,indian (Native American) (male),m,a,cz,colour,noun,image_310,multipic
PICTURE_532,PICTURE_532,1,klaun,clown (male),m,a,cz,colour,noun,image_316,multipic
PICTURE_539,PICTURE_539,1,kosmonaut,astronaut (male),m,a,cz,colour,noun,image_321,multipic
PICTURE_544,PICTURE_544,1,doktor,doctor (male),m,a,cz,colour,noun,image_324,multipic
PICTURE_572,PICTURE_572,1,žonglér,juggler (male),m,a,cz,colour,noun,image_350,multipic
PICTURE_614,PICTURE_614,1,královna,queen (female),f,a,cz,colour,noun,image_384,multipic
PICTURE_669,PICTURE_669,1,pilot,pilot (male),m,a,cz,colour,noun,image_420,multipic
PICTURE_691,PICTURE_691,1,muž,man (male),m,a,cz,colour,noun,image_438,multipic
PICTURE_007,PICTURE_007,1,víla,fairy (female),f,a,cz,colour,noun,image_445,multipic
PICTURE_709,PICTURE_709,1,plavec,swimming (male),m,a,cz,colour,noun,image_452,multipic
PICTURE_710,PICTURE_710,1,doktor,doctor (male),m,a,cz,colour,noun,image_454,multipic
PICTURE_726,PICTURE_726,1,číšník,waiter (male),m,a,cz,colour,noun,image_462,multipic
PICTURE_736,PICTURE_736,1,čaroděj,wizard (male),m,a,cz,colour,noun,image_470,multipic
PICTURE_740,PICTURE_740,1,rybář,fisherman (male),m,a,cz,colour,noun,image_472,multipic
PICTURE_012,PICTURE_012,1,mořská panna,mermaid (female),f,a,cz,gray,noun,image_20,multipic
PICTURE_131,PICTURE_131,1,zpěvák,singer (male),m,a,cz,gray,noun,image_29,multipic
PICTURE_139,PICTURE_139,1,duch,ghost (male),m,a,cz,gray,noun,image_32,multipic
PICTURE_016,PICTURE_016,1,lovec,hunter (male),m,a,cz,gray,noun,image_49,multipic
PICTURE_017,PICTURE_017,1,čert,devil (male),m,a,cz,gray,noun,image_57,multipic
PICTURE_175,PICTURE_175,1,malíř,artist (male),m,a,cz,gray,noun,image_61,multipic
PICTURE_184,PICTURE_184,1,čarodějnice,witch (female),f,a,cz,gray,noun,image_65,multipic
PICTURE_021,PICTURE_021,1,boxer,boxer (person) (male),m,a,cz,gray,noun,image_85,multipic
PICTURE_239,PICTURE_239,1,žena,woman (female),f,a,cz,gray,noun,image_106,multipic
PICTURE_242,PICTURE_242,1,pošťák,postman (male),m,a,cz,gray,noun,image_110,multipic
PICTURE_246,PICTURE_246,1,zubař,dentist (male),m,a,cz,gray,noun,image_113,multipic
PICTURE_254,PICTURE_254,1,řezník,butcher (person) (male),m,a,cz,gray,noun,image_119,multipic
PICTURE_265,PICTURE_265,1,pirát,pirate (male),m,a,cz,gray,noun,image_126,multipic
PICTURE_029,PICTURE_029,1,kovboj,cowboy (male),m,a,cz,gray,noun,image_145,multipic
PICTURE_294,PICTURE_294,1,instalatér,plumber (male),m,a,cz,gray,noun,image_150,multipic
PICTURE_303,PICTURE_303,1,mim,mime (male),m,a,cz,gray,noun,image_156,multipic
PICTURE_313,PICTURE_313,1,kadeřník,barber (male),m,a,cz,gray,noun,image_163,multipic
PICTURE_317,PICTURE_317,1,voják,soldier (male),m,a,cz,gray,noun,image_166,multipic
PICTURE_337,PICTURE_337,1,příšera,monster (female),f,a,cz,gray,noun,image_179,multipic
PICTURE_376,PICTURE_376,1,sochař,sculptor (male),m,a,cz,gray,noun,image_205,multipic
PICTURE_399,PICTURE_399,1,baletka,ballerina (female),f,a,cz,gray,noun,image_221,multipic
PICTURE_451,PICTURE_451,1,král,king (male),m,a,cz,gray,noun,image_256,multipic
PICTURE_466,PICTURE_466,1,soudce,judge (male),m,a,cz,gray,noun,image_270,multipic
PICTURE_048,PICTURE_048,1,hasič,fireman (male),m,a,cz,gray,noun,image_279,multipic
PICTURE_499,PICTURE_499,1,kluk,boy (male),m,a,cz,gray,noun,image_291,multipic
PICTURE_502,PICTURE_502,1,pastýř,farmer (male),m,a,cz,gray,noun,image_295,multipic
PICTURE_507,PICTURE_507,1,dítě,baby,n,a,cz,gray,noun,image_299,multipic
PICTURE_524,PICTURE_524,1,indián,indian (Native American) (male),m,a,cz,gray,noun,image_310,multipic
PICTURE_532,PICTURE_532,1,klaun,clown (male),m,a,cz,gray,noun,image_316,multipic
PICTURE_539,PICTURE_539,1,kosmonaut,astronaut (male),m,a,cz,gray,noun,image_321,multipic
PICTURE_544,PICTURE_544,1,doktor,doctor (male),m,a,cz,gray,noun,image_324,multipic
PICTURE_572,PICTURE_572,1,žonglér,juggler (male),m,a,cz,gray,noun,image_350,multipic
PICTURE_614,PICTURE_614,1,královna,queen (female),f,a,cz,gray,noun,image_384,multipic
PICTURE_669,PICTURE_669,1,pilot,pilot (male),m,a,cz,gray,noun,image_420,multipic
PICTURE_691,PICTURE_691,1,muž,man (male),m,a,cz,gray,noun,image_438,multipic
PICTURE_007,PICTURE_007,1,víla,fairy (female),f,a,cz,gray,noun,image_445,multipic
PICTURE_709,PICTURE_709,1,plavec,swimming (male),m,a,cz,gray,noun,image_452,multipic
PICTURE_710,PICTURE_710,1,doktor,doctor (male),m,a,cz,gray,noun,image_454,multipic
PICTURE_726,PICTURE_726,1,číšník,waiter (male),m,a,cz,gray,noun,image_462,multipic
PICTURE_736,PICTURE_736,1,čaroděj,wizard (male),m,a,cz,gray,noun,image_470,multipic
PICTURE_740,PICTURE_740,1,rybář,fisherman (male),m,a,cz,gray,noun,image_472,multipic
lékárna,PICTURE_173,1,lékárna,pharmacy,f,i,cz,words,noun,image_60,multipic
most,PICTURE_178,1,most,bridge (river),m,i,cz,words,noun,image_63,multipic
město,PICTURE_187,1,město,city,n,i,cz,words,noun,image_68,multipic
zeď,PICTURE_227,1,zeď,wall,f,i,cz,words,noun,image_96,multipic
věž,PICTURE_240,1,věž,castle,f,i,cz,words,noun,image_108,multipic
ostrov,PICTURE_260,1,ostrov,island,m,i,cz,words,noun,image_123,multipic
tunel,PICTURE_286,1,tunel,tunnel,m,i,cz,words,noun,image_142,multipic
farma,PICTURE_030,1,farma,farm,f,i,cz,words,noun,image_154,multipic
kostel,PICTURE_320,1,kostel,church,m,i,cz,words,noun,image_170,multipic
oltář,PICTURE_004,1,oltář,church,m,i,cz,words,noun,image_222,multipic
továrna,PICTURE_412,1,továrna,factory,f,i,cz,words,noun,image_231,multipic
pyramida,PICTURE_457,1,pyramida,pyramid,f,i,cz,words,noun,image_262,multipic
maják,PICTURE_540,1,maják,lighthouse,m,i,cz,words,noun,image_322,multipic
hrad,PICTURE_568,1,hrad,castle,m,i,cz,words,noun,image_345,multipic
laboratoř,PICTURE_582,1,laboratoř,lab,f,i,cz,words,noun,image_358,multipic
hřbitov,PICTURE_603,1,hřbitov,graveyard,m,i,cz,words,noun,image_374,multipic
vězení,PICTURE_623,1,vězení,prison,n,i,cz,words,noun,image_390,multipic
mlýn,PICTURE_675,1,mlýn,windmill,m,i,cz,words,noun,image_425,multipic
socha svobody,PICTURE_729,1,socha svobody,statue of liberty,f,i,cz,words,noun,image_464,multipic
studna,PICTURE_745,1,studna,well (water hole),f,i,cz,words,noun,image_475,multipic
park,PICTURE_082,1,park,park (location),m,i,cz,words,noun,image_486,multipic
PICTURE_173,PICTURE_173,1,lékárna,pharmacy,f,i,cz,colour,noun,image_60,multipic
PICTURE_178,PICTURE_178,1,most,bridge (river),m,i,cz,colour,noun,image_63,multipic
PICTURE_187,PICTURE_187,1,město,city,n,i,cz,colour,noun,image_68,multipic
PICTURE_227,PICTURE_227,1,zeď,wall,f,i,cz,colour,noun,image_96,multipic
PICTURE_240,PICTURE_240,1,věž,castle,f,i,cz,colour,noun,image_108,multipic
PICTURE_260,PICTURE_260,1,ostrov,island,m,i,cz,colour,noun,image_123,multipic
PICTURE_286,PICTURE_286,1,tunel,tunnel,m,i,cz,colour,noun,image_142,multipic
PICTURE_030,PICTURE_030,1,farma,farm,f,i,cz,colour,noun,image_154,multipic
PICTURE_320,PICTURE_320,1,kostel,church,m,i,cz,colour,noun,image_170,multipic
PICTURE_004,PICTURE_004,1,oltář,church,m,i,cz,colour,noun,image_222,multipic
PICTURE_412,PICTURE_412,1,továrna,factory,f,i,cz,colour,noun,image_231,multipic
PICTURE_457,PICTURE_457,1,pyramida,pyramid,f,i,cz,colour,noun,image_262,multipic
PICTURE_540,PICTURE_540,1,maják,lighthouse,m,i,cz,colour,noun,image_322,multipic
PICTURE_568,PICTURE_568,1,hrad,castle,m,i,cz,colour,noun,image_345,multipic
PICTURE_582,PICTURE_582,1,laboratoř,lab,f,i,cz,colour,noun,image_358,multipic
PICTURE_603,PICTURE_603,1,hřbitov,graveyard,m,i,cz,colour,noun,image_374,multipic
PICTURE_623,PICTURE_623,1,vězení,prison,n,i,cz,colour,noun,image_390,multipic
PICTURE_675,PICTURE_675,1,mlýn,windmill,m,i,cz,colour,noun,image_425,multipic
PICTURE_729,PICTURE_729,1,socha svobody,statue of liberty,f,i,cz,colour,noun,image_464,multipic
PICTURE_745,PICTURE_745,1,studna,well (water hole),f,i,cz,colour,noun,image_475,multipic
PICTURE_082,PICTURE_082,1,park,park (location),m,i,cz,colour,noun,image_486,multipic
PICTURE_173,PICTURE_173,1,lékárna,pharmacy,f,i,cz,gray,noun,image_60,multipic
PICTURE_178,PICTURE_178,1,most,bridge (river),m,i,cz,gray,noun,image_63,multipic
PICTURE_187,PICTURE_187,1,město,city,n,i,cz,gray,noun,image_68,multipic
PICTURE_227,PICTURE_227,1,zeď,wall,f,i,cz,gray,noun,image_96,multipic
PICTURE_240,PICTURE_240,1,věž,castle,f,i,cz,gray,noun,image_108,multipic
PICTURE_260,PICTURE_260,1,ostrov,island,m,i,cz,gray,noun,image_123,multipic
PICTURE_286,PICTURE_286,1,tunel,tunnel,m,i,cz,gray,noun,image_142,multipic
PICTURE_030,PICTURE_030,1,farma,farm,f,i,cz,gray,noun,image_154,multipic
PICTURE_320,PICTURE_320,1,kostel,church,m,i,cz,gray,noun,image_170,multipic
PICTURE_004,PICTURE_004,1,oltář,church,m,i,cz,gray,noun,image_222,multipic
PICTURE_412,PICTURE_412,1,továrna,factory,f,i,cz,gray,noun,image_231,multipic
PICTURE_457,PICTURE_457,1,pyramida,pyramid,f,i,cz,gray,noun,image_262,multipic
PICTURE_540,PICTURE_540,1,maják,lighthouse,m,i,cz,gray,noun,image_322,multipic
PICTURE_568,PICTURE_568,1,hrad,castle,m,i,cz,gray,noun,image_345,multipic
PICTURE_582,PICTURE_582,1,laboratoř,lab,f,i,cz,gray,noun,image_358,multipic
PICTURE_603,PICTURE_603,1,hřbitov,graveyard,m,i,cz,gray,noun,image_374,multipic
PICTURE_623,PICTURE_623,1,vězení,prison,n,i,cz,gray,noun,image_390,multipic
PICTURE_675,PICTURE_675,1,mlýn,windmill,m,i,cz,gray,noun,image_425,multipic
PICTURE_729,PICTURE_729,1,socha svobody,statue of liberty,f,i,cz,gray,noun,image_464,multipic
PICTURE_745,PICTURE_745,1,studna,well (water hole),f,i,cz,gray,noun,image_475,multipic
PICTURE_082,PICTURE_082,1,park,park (location),m,i,cz,gray,noun,image_486,multipic
domino,PICTURE_154,1,domino,dominoes (game),n,i,cz,words,noun,image_45,multipic
branka,PICTURE_170,1,branka,goal (sports equipment),f,i,cz,words,noun,image_58,multipic
míč,PICTURE_185,1,míč,ball,m,i,cz,words,noun,image_66,multipic
bumerang,PICTURE_209,1,bumerang,boomerang,m,i,cz,words,noun,image_84,multipic
kostka,PICTURE_308,1,kostka,dice (games),f,i,cz,words,noun,image_158,multipic
ploutev,PICTURE_341,1,ploutev,flipper,f,i,cz,words,noun,image_182,multipic
bazén,PICTURE_362,1,bazén,pool,m,i,cz,words,noun,image_197,multipic
kolo,PICTURE_652,1,kolo,bike,n,i,cz,words,noun,image_408,multipic
medaile,PICTURE_657,1,medaile,medal,f,i,cz,words,noun,image_412,multipic
luk,PICTURE_680,1,luk,bow (arrow),m,i,cz,words,noun,image_430,multipic
pohár,PICTURE_071,1,pohár,trophy,m,i,cz,words,noun,image_453,multipic
kulečník,PICTURE_715,1,kulečník,pool table,m,i,cz,words,noun,image_456,multipic
kuželka,PICTURE_746,1,kuželka,bowling pin,f,i,cz,words,noun,image_476,multipic
PICTURE_154,PICTURE_154,1,domino,dominoes (game),n,i,cz,colour,noun,image_45,multipic
PICTURE_170,PICTURE_170,1,branka,goal (sports equipment),f,i,cz,colour,noun,image_58,multipic
PICTURE_185,PICTURE_185,1,míč,ball,m,i,cz,colour,noun,image_66,multipic
PICTURE_209,PICTURE_209,1,bumerang,boomerang,m,i,cz,colour,noun,image_84,multipic
PICTURE_308,PICTURE_308,1,kostka,dice (games),f,i,cz,colour,noun,image_158,multipic
PICTURE_341,PICTURE_341,1,ploutev,flipper,f,i,cz,colour,noun,image_182,multipic
PICTURE_362,PICTURE_362,1,bazén,pool,m,i,cz,colour,noun,image_197,multipic
PICTURE_652,PICTURE_652,1,kolo,bike,n,i,cz,colour,noun,image_408,multipic
PICTURE_657,PICTURE_657,1,medaile,medal,f,i,cz,colour,noun,image_412,multipic
PICTURE_680,PICTURE_680,1,luk,bow (arrow),m,i,cz,colour,noun,image_430,multipic
PICTURE_071,PICTURE_071,1,pohár,trophy,m,i,cz,colour,noun,image_453,multipic
PICTURE_715,PICTURE_715,1,kulečník,pool table,m,i,cz,colour,noun,image_456,multipic
PICTURE_732,PICTURE_732,1,míč,football (ball),m,i,cz,colour,noun,image_467,multipic
PICTURE_746,PICTURE_746,1,kuželka,bowling pin,f,i,cz,colour,noun,image_476,multipic
PICTURE_154,PICTURE_154,1,domino,dominoes (game),n,i,cz,gray,noun,image_45,multipic
PICTURE_170,PICTURE_170,1,branka,goal (sports equipment),f,i,cz,gray,noun,image_58,multipic
PICTURE_185,PICTURE_185,1,míč,ball,m,i,cz,gray,noun,image_66,multipic
PICTURE_209,PICTURE_209,1,bumerang,boomerang,m,i,cz,gray,noun,image_84,multipic
PICTURE_308,PICTURE_308,1,kostka,dice (games),f,i,cz,gray,noun,image_158,multipic
PICTURE_341,PICTURE_341,1,ploutev,flipper,f,i,cz,gray,noun,image_182,multipic
PICTURE_362,PICTURE_362,1,bazén,pool,m,i,cz,gray,noun,image_197,multipic
PICTURE_652,PICTURE_652,1,kolo,bike,n,i,cz,gray,noun,image_408,multipic
PICTURE_657,PICTURE_657,1,medaile,medal,f,i,cz,gray,noun,image_412,multipic
PICTURE_680,PICTURE_680,1,luk,bow (arrow),m,i,cz,gray,noun,image_430,multipic
PICTURE_071,PICTURE_071,1,pohár,trophy,m,i,cz,gray,noun,image_453,multipic
PICTURE_715,PICTURE_715,1,kulečník,pool table,m,i,cz,gray,noun,image_456,multipic
PICTURE_732,PICTURE_732,1,míč,football (ball),m,i,cz,gray,noun,image_467,multipic
PICTURE_746,PICTURE_746,1,kuželka,bowling pin,f,i,cz,gray,noun,image_476,multipic
výtah,PICTURE_104,1,výtah,lift (elevator),m,i,cz,words,noun,image_5,multipic
kalendář,PICTURE_108,1,kalendář,calendar,m,i,cz,words,noun,image_9,multipic
padák,PICTURE_126,1,padák,parachute,m,i,cz,words,noun,image_25,multipic
pytel,PICTURE_127,1,pytel,sack (bag),m,i,cz,words,noun,image_26,multipic
dýmka,PICTURE_148,1,dýmka,pipe,f,i,cz,words,noun,image_39,multipic
klíčová dírka,PICTURE_149,1,klíčová dírka,keyhole,f,i,cz,words,noun,image_40,multipic
náboj,PICTURE_155,1,náboj,bullet,m,i,cz,words,noun,image_46,multipic
motor,PICTURE_186,1,motor,engine,m,i,cz,words,noun,image_67,multipic
teploměr,PICTURE_192,1,teploměr,thermometer,m,i,cz,words,noun,image_73,multipic
počítač,PICTURE_196,1,počítač,computer,m,i,cz,words,noun,image_75,multipic
kružítko,PICTURE_197,1,kružítko,compass,n,i,cz,words,noun,image_76,multipic
tiskárna,PICTURE_204,1,tiskárna,printer,f,i,cz,words,noun,image_80,multipic
váhy,PICTURE_212,1,váhy,scales,!,i,cz,words,noun,image_87,multipic
kladivo,PICTURE_216,1,kladivo,hammer,n,i,cz,words,noun,image_88,multipic
štětec,PICTURE_224,1,štětec,paint brush,m,i,cz,words,noun,image_94,multipic
jehla,PICTURE_235,1,jehla,needle (sewing),f,i,cz,words,noun,image_103,multipic
lopata,PICTURE_255,1,lopata,shovel,f,i,cz,words,noun,image_120,multipic
uzel,PICTURE_267,1,uzel,knot,m,i,cz,words,noun,image_128,multipic
mikroskop,PICTURE_028,1,mikroskop,microscope,m,i,cz,words,noun,image_137,multipic
klec,PICTURE_290,1,klec,cage,f,i,cz,words,noun,image_146,multipic
spoušť,PICTURE_291,1,spoušť,trigger (weapon),f,i,cz,words,noun,image_147,multipic
kompas,PICTURE_292,1,kompas,compass,m,i,cz,words,noun,image_148,multipic
vlajka,PICTURE_295,1,vlajka,flag,f,i,cz,words,noun,image_151,multipic
meč,PICTURE_301,1,meč,sword,m,i,cz,words,noun,image_155,multipic
žiletka,PICTURE_311,1,žiletka,razor,f,i,cz,words,noun,image_161,multipic
pravítko,PICTURE_336,1,pravítko,ruler (measure),n,i,cz,words,noun,image_178,multipic
síť,PICTURE_346,1,síť,net,f,i,cz,words,noun,image_185,multipic
zámek,PICTURE_349,1,zámek,lock,m,i,cz,words,noun,image_187,multipic
nůž,PICTURE_359,1,nůž,knife,m,i,cz,words,noun,image_195,multipic
kopí,PICTURE_367,1,kopí,spear,n,i,cz,words,noun,image_200,multipic
vějíř,PICTURE_368,1,vějíř,fan (handheld accessory),m,i,cz,words,noun,image_201,multipic
bomba,PICTURE_386,1,bomba,bomb,f,i,cz,words,noun,image_212,multipic
sešívačka,PICTURE_387,1,sešívačka,stapler,f,i,cz,words,noun,image_213,multipic
řetěz,PICTURE_391,1,řetěz,chain,m,i,cz,words,noun,image_217,multipic
kotva,PICTURE_405,1,kotva,anchor,f,i,cz,words,noun,image_225,multipic
sekera,PICTURE_422,1,sekera,axe,f,i,cz,words,noun,image_238,multipic
hřeben,PICTURE_043,1,hřeben,hairbrush,m,i,cz,words,noun,image_243,multipic
zvonek,PICTURE_433,1,zvonek,bell,m,i,cz,words,noun,image_246,multipic
dělo,PICTURE_437,1,dělo,cannon,n,i,cz,words,noun,image_247,multipic
nůžky,PICTURE_453,1,nůžky,scissors,!,i,cz,words,noun,image_258,multipic
šroubovák,PICTURE_046,1,šroubovák,screwdriver,m,i,cz,words,noun,image_264,multipic
pistole,PICTURE_461,1,pistole,gun,f,i,cz,words,noun,image_265,multipic
guma,PICTURE_464,1,guma,rubber (eraser),f,i,cz,words,noun,image_268,multipic
štít,PICTURE_501,1,štít,shield,m,i,cz,words,noun,image_294,multipic
kalkulačka,PICTURE_516,1,kalkulačka,calculator,f,i,cz,words,noun,image_305,multipic
provaz,PICTURE_517,1,provaz,rope,m,i,cz,words,noun,image_306,multipic
pila,PICTURE_052,1,pila,saw (tool),f,i,cz,words,noun,image_307,multipic
zapalovač,PICTURE_558,1,zapalovač,lighter (fire),m,i,cz,words,noun,image_335,multipic
zvon,PICTURE_565,1,zvon,bell,m,i,cz,words,noun,image_343,multipic
magnet,PICTURE_571,1,magnet,magnet,m,i,cz,words,noun,image_349,multipic
injekce,PICTURE_594,1,injekce,needle (injection),f,i,cz,words,noun,image_368,multipic
kondom,PICTURE_608,1,kondom,condom,m,i,cz,words,noun,image_378,multipic
dynamit,PICTURE_634,1,dynamit,dynamite,m,i,cz,words,noun,image_398,multipic
puška,PICTURE_645,1,puška,gun,f,i,cz,words,noun,image_404,multipic
deštník,PICTURE_653,1,deštník,umbrella,m,i,cz,words,noun,image_409,multipic
tužka,PICTURE_654,1,tužka,pencil,f,i,cz,words,noun,image_410,multipic
baterie,PICTURE_656,1,baterie,battery,f,i,cz,words,noun,image_411,multipic
hůl,PICTURE_676,1,hůl,walking stick,f,i,cz,words,noun,image_426,multipic
mapa,PICTURE_677,1,mapa,map,f,i,cz,words,noun,image_427,multipic
roh,PICTURE_678,1,roh,horn,m,i,cz,words,noun,image_428,multipic
svíčka,PICTURE_068,1,svíčka,candle,f,i,cz,words,noun,image_429,multipic
dalekohled,PICTURE_699,1,dalekohled,telescope,m,i,cz,words,noun,image_444,multipic
hasicí přístroj,PICTURE_702,1,hasicí přístroj,fire extinguisher,m,i,cz,words,noun,image_449,multipic
hadice,PICTURE_727,1,hadice,hose,f,i,cz,words,noun,image_463,multipic
klíč,PICTURE_078,1,klíč,key,m,i,cz,words,noun,image_481,multipic
klávesnice,PICTURE_079,1,klávesnice,keyboard (computer),f,i,cz,words,noun,image_482,multipic
robot,PICTURE_087,1,robot,robot,m,a,cz,words,noun,image_491,multipic
berle,PICTURE_088,1,berle,crutches,f,i,cz,words,noun,image_492,multipic
PICTURE_104,PICTURE_104,1,výtah,lift (elevator),m,i,cz,colour,noun,image_5,multipic
PICTURE_108,PICTURE_108,1,kalendář,calendar,m,i,cz,colour,noun,image_9,multipic
PICTURE_126,PICTURE_126,1,padák,parachute,m,i,cz,colour,noun,image_25,multipic
PICTURE_127,PICTURE_127,1,pytel,sack (bag),m,i,cz,colour,noun,image_26,multipic
PICTURE_148,PICTURE_148,1,dýmka,pipe,f,i,cz,colour,noun,image_39,multipic
PICTURE_149,PICTURE_149,1,klíčová dírka,keyhole,f,i,cz,colour,noun,image_40,multipic
PICTURE_155,PICTURE_155,1,náboj,bullet,m,i,cz,colour,noun,image_46,multipic
PICTURE_186,PICTURE_186,1,motor,engine,m,i,cz,colour,noun,image_67,multipic
PICTURE_192,PICTURE_192,1,teploměr,thermometer,m,i,cz,colour,noun,image_73,multipic
PICTURE_196,PICTURE_196,1,počítač,computer,m,i,cz,colour,noun,image_75,multipic
PICTURE_197,PICTURE_197,1,kružítko,compass,n,i,cz,colour,noun,image_76,multipic
PICTURE_204,PICTURE_204,1,tiskárna,printer,f,i,cz,colour,noun,image_80,multipic
PICTURE_212,PICTURE_212,1,váhy,scales,!,i,cz,colour,noun,image_87,multipic
PICTURE_216,PICTURE_216,1,kladivo,hammer,n,i,cz,colour,noun,image_88,multipic
PICTURE_224,PICTURE_224,1,štětec,paint brush,m,i,cz,colour,noun,image_94,multipic
PICTURE_235,PICTURE_235,1,jehla,needle (sewing),f,i,cz,colour,noun,image_103,multipic
PICTURE_255,PICTURE_255,1,lopata,shovel,f,i,cz,colour,noun,image_120,multipic
PICTURE_267,PICTURE_267,1,uzel,knot,m,i,cz,colour,noun,image_128,multipic
PICTURE_028,PICTURE_028,1,mikroskop,microscope,m,i,cz,colour,noun,image_137,multipic
PICTURE_290,PICTURE_290,1,klec,cage,f,i,cz,colour,noun,image_146,multipic
PICTURE_291,PICTURE_291,1,spoušť,trigger (weapon),f,i,cz,colour,noun,image_147,multipic
PICTURE_292,PICTURE_292,1,kompas,compass,m,i,cz,colour,noun,image_148,multipic
PICTURE_295,PICTURE_295,1,vlajka,flag,f,i,cz,colour,noun,image_151,multipic
