item,image,multiple,word_czech,word_english,semantic_category,grammatical_gender,animacy,language,version,pos,item_ID,role_noun,animal_person,source,pos_category
PICTURE_708,PICTURE_708,1,šimpanz,monkey,animal,m,a,cz,gray,noun,image_451,0,2,multipic,NA
PICTURE_724,PICTURE_724,1,velryba,whale,animal,f,a,cz,gray,noun,image_461,0,2,multipic,NA
PICTURE_077,PICTURE_077,1,velbloud,camel,animal,m,a,cz,gray,noun,image_480,0,2,multipic,NA
PICTURE_092,PICTURE_092,1,tuleň,seal (animal),animal,m,a,cz,gray,noun,image_496,0,2,multipic,NA
PICTURE_098,PICTURE_098,1,tygr,tiger,animal,m,a,cz,gray,noun,image_499,0,2,multipic,NA
jelen,PICTURE_105,1,jelen,deer,animal1,m,a,cz,words,noun,image_6,0,2,multipic,NA
lev,PICTURE_015,1,lev,lion,animal1,m,a,cz,words,noun,image_41,0,2,multipic,NA
kráva,PICTURE_319,1,kráva,cow,animal1,f,a,cz,words,noun,image_168,0,2,multipic,NA
kachna,PICTURE_400,1,kachna,duck (animal),animal1,f,a,cz,words,noun,image_223,0,2,multipic,NA
býk,PICTURE_570,1,býk,bull,animal1,m,a,cz,words,noun,image_348,0,2,multipic,NA
ovce,PICTURE_636,1,ovce,sheep,animal1,f,a,cz,words,noun,image_399,0,2,multipic,NA
PICTURE_105,PICTURE_105,1,jelen,deer,animal1,m,a,cz,colour,noun,image_6,0,2,multipic,NA
PICTURE_015,PICTURE_015,1,lev,lion,animal1,m,a,cz,colour,noun,image_41,0,2,multipic,NA
PICTURE_319,PICTURE_319,1,kráva,cow,animal1,f,a,cz,colour,noun,image_168,0,2,multipic,NA
PICTURE_400,PICTURE_400,1,kachna,duck (animal),animal1,f,a,cz,colour,noun,image_223,0,2,multipic,NA
PICTURE_570,PICTURE_570,1,býk,bull,animal1,m,a,cz,colour,noun,image_348,0,2,multipic,NA
PICTURE_636,PICTURE_636,1,ovce,sheep,animal1,f,a,cz,colour,noun,image_399,0,2,multipic,NA
